标志,ID,人物id,人物,位置,内容,跳转,效果,目标
0,0,0,肖罕,左,你……？,1,,
0,1,0,肖罕,左,我知道你，你是……,2,,
0,2,1,娜塔莉,右,（喜）……,3,,
0,3,0,肖罕,左,……,4,,
0,4,1,娜塔莉,右,（说个魔法少女妙月就行了。）,5,,
0,5,0,肖罕,左,……,6,,
0,6,0,肖罕,左,（不坚定的语气）是……,7,,
0,7,0,肖罕,左,（伸出的手指落下去）,8,,
0,8,0,肖罕,左,……,9,,
1,9,,,左,那个……粉色的那个妖怪？,11,好感度减=1,娜塔莉
1,10,,,左,您吃过早饭了吗？,16,神秘度加=5,肖罕
0,11,1,娜塔莉,右,对！,12,,
0,12,1,娜塔莉,右,不，不对！,13,,
0,13,1,娜塔莉,右,是魔法少女！,14,,
0,14,0,肖罕,左,哦，哦！,15,,
0,15,0,肖罕,左,是魔法少女！,18,,
0,16,1,娜塔莉,右,……是魔法少女啦。,17,,
0,17,0,肖罕,左,哦，哦！,18,,
0,18,0,肖罕,左,（突然的沉默）,19,,
0,19,1,娜塔莉,右,（等下他在看我什么……）,20,,
0,20,0,肖罕,左,你是那个和同事搞到床上，搞女同选妃的那个儿童剧演员吧。,21,,
0,21,1,娜塔莉,右,哈不是，我呃咳咳、咳咳咳……,22,,
0,22,0,肖罕,左,娜塔莉·露兹？,23,,
0,23,1,娜塔莉,右,为什么会这样认识我。,24,,
0,24,,,,,,,
